rank,region,country,lat,long,score,Factor,Factor Score
153,Africa,Tanzania,-6.369028,34.888822,3.231,Freedom to make life choices,0.417
153,Africa,Tanzania,-6.369028,34.888822,3.231,Generosity,0.276
153,Africa,Tanzania,-6.369028,34.888822,3.231,Perceptions of corruption,0.147
154,Asia,Afghanistan,33.93911,67.709953,3.203,GDP per capita,0.350
154,Asia,Afghanistan,33.93911,67.709953,3.203,Social support,0.517
154,Asia,Afghanistan,33.93911,67.709953,3.203,Healthy life expectancy,0.361
154,Asia,Afghanistan,33.93911,67.709953,3.203,Freedom to make life choices,0.000
154,Asia,Afghanistan,33.93911,67.709953,3.203,Generosity,0.158
154,Asia,Afghanistan,33.93911,67.709953,3.203,Perceptions of corruption,0.025
155,Africa,Central African Republic,6.611111,20.939444,3.083,GDP per capita,0.026
155,Africa,Central African Republic,6.611111,20.939444,3.083,Social support,0.000
155,Africa,Central African Republic,6.611111,20.939444,3.083,Healthy life expectancy,0.105
155,Africa,Central African Republic,6.611111,20.939444,3.083,Freedom to make life choices,0.225
155,Africa,Central African Republic,6.611111,20.939444,3.083,Generosity,0.235
155,Africa,Central African Republic,6.611111,20.939444,3.083,Perceptions of corruption,0.035
156,Africa,South Sudan,6.8770,31.3070,2.853,GDP per capita,0.306
156,Africa,South Sudan,6.8770,31.3070,2.853,Social support,0.575
156,Africa,South Sudan,6.8770,31.3070,2.853,Healthy life expectancy,0.295
156,Africa,South Sudan,6.8770,31.3070,2.853,Freedom to make life choices,0.010
156,Africa,South Sudan,6.8770,31.3070,2.853,Generosity,0.202
156,Africa,South Sudan,6.8770,31.3070,2.853,Perceptions of corruption,0.091
